date,close,high,low,open,volume,weightedAverage
2016-08-02 08:00:00,3.64799983,3.89699999,3.16000002,3.89699999,30505.2443356,3.60045792
2016-08-03 08:00:00,3.733,3.79999999,3.4590965,3.59831006,22834.3042655,3.64485034
2016-08-04 08:00:00,3.80457218,3.87999972,3.7142299,3.72895266,13924.5060706,3.7928735
2016-08-05 08:00:00,3.7124477,3.85546592,3.7,3.77523109,2411.36879711,3.73937106
2016-08-06 08:00:00,3.75,3.80602344,3.66420208,3.72744252,1625.3289877,3.74852565
2016-08-07 08:00:00,3.83828553,3.95862484,3.72437468,3.76192972,7070.08027186,3.8370817
2016-08-08 08:00:00,3.837456,3.91999965,3.76000003,3.87864604,2685.72521075,3.80447572
2016-08-09 08:00:00,3.8609205,3.99866082,3.72000001,3.80200027,12139.2051225,3.85368612
2016-08-10 08:00:00,3.79132316,3.9362504,3.75000003,3.84604422,2822.1107743,3.83396817
2016-08-11 08:00:00,3.72002969,3.82398868,3.44,3.79082013,11574.9829988,3.71949104
2016-08-12 08:00:00,3.70534067,3.78899991,3.68800451,3.7200369,5023.23610162,3.74545075
2016-08-13 08:00:00,3.71074227,3.76793836,3.68040554,3.719,1575.13510553,3.71642527
2016-08-14 08:00:00,3.62925928,3.72998229,3.5703689,3.72199999,3368.13599873,3.66013272
2016-08-15 08:00:00,3.55982036,3.692,3.54684932,3.6314476,4128.82100625,3.6366042
2016-08-16 08:00:00,3.620001,3.66571475,3.5390718,3.55300003,2034.9995912,3.62637238
2016-08-17 08:00:00,3.612,3.64499991,3.5609,3.620001,1375.0175565,3.60099408
2016-08-18 08:00:00,3.6279991,3.63999999,3.57000001,3.58178374,973.84407769,3.62020679
2016-08-19 08:00:00,3.61999999,3.6307659,3.57000003,3.61493917,366.25354441,3.59463022
2016-08-20 08:00:00,3.60458988,3.6299999,3.57407178,3.6239993,1917.60688066,3.60926703
2016-08-21 08:00:00,3.62470363,3.636,3.58,3.62010125,2588.12968441,3.59518373
2016-08-22 08:00:00,3.69577793,3.718,3.59,3.62469724,12489.4496974,3.66561409
2016-08-23 08:00:00,3.97050502,4.497,3.64900001,3.70251866,42674.1068115,3.96834341
2016-08-24 08:00:00,3.87798832,3.986,3.837518,3.92330698,13484.563479,3.91992152
2016-08-25 08:00:00,3.78894705,3.882,3.74000359,3.86933996,9477.91997,3.79198141
2016-08-26 08:00:00,3.81999558,3.85999999,3.77590375,3.7957745,2015.89976747,3.83181888
2016-08-27 08:00:00,3.76899984,3.83201324,3.70000977,3.83067158,2960.57125797,3.74370506
2016-08-28 08:00:00,3.74966256,3.77343937,3.70000017,3.755,7097.41213577,3.72590916
2016-08-29 08:00:00,3.7418917,3.82,3.70900528,3.74249369,18037.9604249,3.77628305
2016-08-30 08:00:00,3.80911091,3.86099999,3.74101037,3.76393852,8434.52060523,3.79098856
2016-08-31 08:00:00,3.79392493,3.84699755,3.769,3.8338669,5674.4533848,3.80182975
2016-09-01 08:00:00,3.83757051,3.86435638,3.782,3.80552484,4009.86597721,3.82565325
2016-09-02 08:00:00,3.807,3.86174858,3.79200007,3.84999005,3718.9489305,3.84705645
2016-09-03 08:00:00,3.969,3.97999985,3.80010027,3.86174858,16852.5039923,3.8692414
2016-09-04 08:00:00,4.013,4.09999999,3.91723,3.96823787,12069.5763084,4.00065901
2016-09-05 08:00:00,3.9867594,4.04499984,3.94885797,4.04325321,7663.80114462,3.99169905
2016-09-06 08:00:00,3.97453411,4.0199994,3.94346453,3.98,3169.08740128,3.98494817
2016-09-07 08:00:00,4.01661983,4.01999987,3.93623308,3.98908097,4230.49239962,3.98983609
2016-09-08 08:00:00,4.02188646,4.06899987,3.95066273,3.9841507,4422.55054362,4.02198477
2016-09-09 08:00:00,4.003893,4.04899568,3.95400001,4.02188646,4763.12130227,4.01162224
2016-09-10 08:00:00,3.98887844,4.02899994,3.9736,4.0131006,3517.53066517,4.00685754
2016-09-11 08:00:00,3.89999979,4.01899996,3.85,4.00819067,6477.39059608,3.94118643
2016-09-12 08:00:00,3.84886201,3.91795967,3.78100112,3.89999979,4806.074316,3.83298174
2016-09-13 08:00:00,3.8869967,3.88999336,3.81600003,3.84886201,3936.25580594,3.86591313
2016-09-14 08:00:00,3.85740266,3.89299999,3.84428949,3.88467719,781.82501125,3.87853612
2016-09-15 08:00:00,3.83,3.87999999,3.82100018,3.856,1648.64226389,3.8579958
2016-09-16 08:00:00,3.85551296,3.87999999,3.818264,3.83,5955.44157528,3.86254609
2016-09-17 08:00:00,3.83,3.86999781,3.79400398,3.84420643,2516.77833756,3.81631678
2016-09-18 08:00:00,3.85452482,3.87499999,3.79075463,3.82768857,2860.5102094,3.84684478
2016-09-19 08:00:00,3.8411,3.87499989,3.83000153,3.860909,7150.76616367,3.84649241
2016-09-20 08:00:00,3.81,3.87,3.80803583,3.8411,5815.7764974,3.84458675
2016-09-21 08:00:00,3.77968813,3.80999974,3.74000001,3.8,4821.16088923,3.77664052
2016-09-22 08:00:00,3.79,3.80699999,3.74282547,3.76977571,1381.935649,3.77537486
2016-09-23 08:00:00,3.83899999,3.84299999,3.74815568,3.79,3817.42335324,3.80088557
2016-09-24 08:00:00,3.84099999,3.85,3.80004443,3.83303097,2276.67460301,3.83073806
2016-09-25 08:00:00,3.82624622,3.84699993,3.78723198,3.8382758,2508.5487833,3.83179544
2016-09-26 08:00:00,3.88999986,3.89391411,3.7997716,3.82624622,2017.01664386,3.84355415
2016-09-27 08:00:00,3.843,3.89592191,3.84,3.87641461,623.86179986,3.87656527
2016-09-28 08:00:00,3.85926474,3.87897797,3.81800003,3.84300001,427.40987312,3.83703824
2016-09-29 08:00:00,3.84920632,3.86999648,3.81783904,3.84959877,362.28732095,3.8570696
2016-09-30 08:00:00,3.83500064,3.86799999,3.82201678,3.85122102,10832.7459393,3.83079505
2016-10-01 08:00:00,3.83767627,3.87260923,3.83,3.84999999,1391.86597789,3.86779589
2016-10-02 08:00:00,3.854,3.85710783,3.82200192,3.83000004,3774.3384592,3.83073946
2016-10-03 08:00:00,3.84999999,3.85710782,3.811,3.854,339.6121305,3.83444694
2016-10-04 08:00:00,3.83799992,3.85,3.81,3.81400005,411.25150577,3.83108786
2016-10-05 08:00:00,3.85725076,3.85725076,3.81000001,3.81434543,7599.60251885,3.8298136
2016-10-06 08:00:00,3.86007177,3.86495814,3.81400003,3.86199573,549.55496553,3.84350045
2016-10-07 08:00:00,3.85,3.87327003,3.82300003,3.85,2483.6214038,3.84172099
2016-10-08 08:00:00,3.855,3.87897796,3.821687,3.83600632,13172.425011,3.85963653
2016-10-09 08:00:00,3.793,3.85599999,3.793,3.82668195,3848.14158291,3.8255296
2016-10-10 08:00:00,3.82099568,3.83559637,3.78000001,3.79300001,964.35305601,3.80458067
2016-10-11 08:00:00,3.80300596,3.86294999,3.78,3.78000049,5029.68479724,3.83317378
2016-10-12 08:00:00,3.80483914,3.845,3.79300021,3.81616358,10329.5016871,3.82010429
2016-10-13 08:00:00,3.92399048,3.95,3.792001,3.79300021,4856.20159486,3.90656389
2016-10-14 08:00:00,3.9001626,3.92359956,3.85201537,3.88319867,4060.44019947,3.89459893
2016-10-15 08:00:00,3.8640004,3.93,3.8600382,3.89643535,750.19557445,3.896454
2016-10-16 08:00:00,3.91,3.92799018,3.87000012,3.91299187,946.47133577,3.90794115
2016-10-17 08:00:00,3.85723881,3.92497368,3.84200376,3.90227305,4795.57772995,3.8736756
2016-10-18 08:00:00,3.84092264,3.90199999,3.82400395,3.8817352,4777.43798577,3.87927295
2016-10-19 08:00:00,3.81745636,3.86999998,3.76000005,3.83,3421.60161327,3.80563143
2016-10-20 08:00:00,3.805,3.83099994,3.771,3.8,3283.95414737,3.80077863
2016-10-21 08:00:00,3.82142382,3.85,3.78400002,3.805,1333.22439905,3.82700934
2016-10-22 08:00:00,3.89575785,3.95429523,3.82142382,3.82810468,1566.35450405,3.89335539
2016-10-23 08:00:00,3.89100005,3.94999999,3.88368962,3.90802607,11368.6531677,3.90584672
2016-10-24 08:00:00,3.90418003,3.924,3.87527484,3.89100005,4727.51748055,3.90546053
2016-10-25 08:00:00,3.9058855,3.92,3.84959925,3.88134452,3719.90623674,3.90441862
2016-10-26 08:00:00,3.9610647,3.99383819,3.84959925,3.88500001,13879.6249756,3.88913854
2016-10-27 08:00:00,3.98071177,4.08358763,3.92900004,3.97161345,4855.42987529,4.0020569
2016-10-28 08:00:00,3.984,4.02499999,3.93400033,4.015,3285.63094207,3.96104227
2016-10-29 08:00:00,4.086,4.09989999,3.95500998,3.99999999,13326.8517156,4.03109026
2016-10-30 08:00:00,4.025,4.08599999,3.99383818,4.05400352,10259.903026,4.03342067
